chavacano,type,english
farmacia,noun,"pharmacy, drugstore"
fastidia,verb,"to bother, to annoy, to tease"
favor,noun,favor
favorite,adjective,favorite
fe,noun,"faith, trust"
fecha,noun,date
felicidad,noun,"happiness, joy"
felicita,verb,to congratulate
feliz,adjective,"happy, grateful, joyful"
fertil,adjective,fertile
fertilidad,noun,fertility
ficha,noun,bottle cap
fidelidad,noun,"fidelity, loyalty"
fiel,adjective,"loyal, faithful, true"
fiesta,noun,"feast, celebration"
fija,verb,"to notice, to mind, to pay attention, to see"
filosofo,noun,philosopher
fin,adjective,"last, end"
finaliza,verb,"to finalize, to finish"
finalmente,adverb,finally
fino,adjective,"refined, fine, subtle, thin, sharp"
firma,noun,signature
firma,verb,to sign
firmi,adverb,"always, each time, constantly, continually, continuously"
fisico,adjective,physical
flaca,adjective,thin (feminine)
flauta,noun,flute
flores,noun,"flower, flowers"
forma,noun,form
forma,verb,to pose
forza,verb,to force
foto,noun,"photo, picture"
fotografia,noun,photography
fractura,noun,fracture
franca,adjective,"frank, direct, straightforward"
freno,noun,brake
frente,noun,forehead
fresco,adjective,fresh
fri,verb,to fry
friholes,noun,"green beans, snake beans, long beans"
frijoles,noun,"green beans, snake beans, long beans"
frio,adjective,cold
frito,adjective,fried
frontera,noun,"border, boundary"
fruta,noun,fruit
frutas,noun,fruits
fuego,noun,fire
fuente,noun,bridge
fuera,adverb,aside from
fuerte,adjective,"strong, fast, powerful, forceful, intense"
fuerza,noun,"power, might, mightiness, force"
fuma,verb,to smoke a cigarette
fumador,noun,smoker
fundacion,noun,foundation
futuro,noun,future
gafas,noun,cotton
gago,adjective,"foolish, crazy"
gaha,adverb,"perhaps, maybe, might, possibly"
gaja,adverb,"perhaps, maybe, might, possibly"
gale,interjection,expression of surpise or confirmation (as in “ikaw pala...)
gallena,noun,hen
gallera,noun,cockpit
gallina,noun,hen
gallo,noun,rooster
gambas,noun,"shrimp, prawn"
gana,verb,to win
gana,noun,appetite
ganador,noun,"winner, victor"
ganancia,noun,gain
gane,interjection,expression of surpise or confirmation (as in “ikaw pala...)
ganguia,verb,"to tease, mock, ridicule, annoy"
ganguiador,noun,"mocker, teaser, annoyer"
garahe,noun,garaje
garaje,noun,garaje
garganta,noun,throat
garrutia,verb,"to strike using a stick, belt, etc"
garrutiao,adjective,struck
gasolina,noun,gasoline
gasolinahan,noun,gasoline station
gasta,verb,to spend
gastao,adjective,"used, well-used"
gata,noun,"milk or extract of a fruit, tree, leaf, etc"
gato,noun,cat
gayod,adverb,"very, really"
gayot,adverb,"very, really"
generacion,noun,generation
generalmente,adverb,generally
genero,noun,gender
generoso,adjective,generous
gente,noun,"human, person, man, people"
genuino,adjective,genuine
gigante,adjective,"giant, gigantic, huge"
ginebra,noun,gin
gitara,noun,guitar
globo,noun,globe
golpe,noun,"punch, strike, blow, impact, shot"
goma,noun,rubber
gordo,adjective,fat
gordura,noun,"fat, fats"
govierno,noun,government
graba,noun,debris or broken pieces of concrete
gracias,interjection,thank you
grado,noun,grade
gradua,verb,to graduate
gramatica,noun,grammar
gran,adjective,"great, big"
grande,adjective,"great, big"
grandor,noun,"size, largeness, greatness"
grano,noun,grain
grasa,noun,grease
gratifica,verb,to gratify
grita,verb,"to shout, scream, yell"
grito,noun,"shout, scream, exclamation, yell, cry"
grueso,adjective,thick
grupo,noun,group
guapo,adjective,handsome
guardia,noun,"guard, security guard"
guardia,verb,"to guard, secure"
guerra,noun,"war, siege, battle"
guerrero,noun,"warrior, fighter"
guía,noun,guide
guía,verb,to guide
guiador,noun,one who guides
guiao,adjective,guided
guinda,verb,to reach to a destination
guitarra,noun,guitar
gulud,noun,ridge
gumita,verb,to vomit
gumitorio,noun,noun
gusano,noun,worm
gusto,noun,"like, wish, desire"
habla,verb,"to say, tell, speak"
hablada,verb,the way it is said
habon,noun,soap
hace,verb,"to do, make, accomplish, build, work, execute, perform"
hala,verb,"to pull, tug"
haluga,adjective,loose
hambre,noun,hunger
hambuguero,adjective,boastful
haragan,adjective,"greedy, hungry, thirsty, wanting to do or have something very much"
harina,noun,flour
harta,verb,"to surfeit, to feed too much, to do things too much"
hartao,adjective,"surfeited, fed up too much"
hasta,adverb,until
hefe,adjective,chief
helado,noun,ice cream
hende,adverb,"no, not"
heredero,noun,"heir, inheritor"
herencia,noun,"heredity, heritage, inheritance, legacy"
heri,verb,"to hurt, to injure, to smite"
herida,noun,"wound, injury, hurt"
herido,adjective,"wounded, injured, hurt"
hermana,noun,sister
hermano,noun,brother
hermosa,adjective,beautiful
heroe,noun,hero
hierro,noun,"metal, iron"
higado,noun,liver
hija,noun,young lady
hijo,noun,young man
hila,verb,"to pull, tug"
hinay,adjective,"slow, weak"
hinay-hinay,adverb,slowly
hinca,verb,to kneel
hinde,adverb,"no, not"
hipocrito,noun,hypocrite
hiri,verb,"to hurt, to injure, to smite"
hirida,noun,"wound, injury, hurt"
hirido,adjective,"wounded, injured, hurt"
hirvi,verb,to boil
histerico,adjective,hysterical
historia,noun,"history, story"
hojas,noun,"leaf, leaves"
hola,interjection,"hi, hello"
hombre,noun,"boy, male, man"
hombro,noun,shoulder
hondo,adjective,deep
hondura,noun,depth
honesto,adjective,honest
honor,noun,honor
honra,noun,dignity
honrado,adjective,honored
hospital,noun,hospital
hotel,noun,hotel
hoy,interjection,"hey, hi (very informal)"
hueso,noun,bone
hui,verb,"to go away, run away, one who went with someone to settle down or get married"
humano,noun,human
humilde,adjective,humble
humo,noun,smoke
husto,adjective,"enough, suitable, exact, fit"
hutik,verb,to whisper
huya,noun,shyness
huyain,adjective,shy
icha,verb,"to put, to place"
ichura,noun,"appearance, look, figure"
idea,noun,idea
ideal,adjective,ideal
identidad,noun,identity
identifica,verb,to identify
ideologia,noun,ideology
idioma,noun,idiom
idiomatico,adjective,idiomatic
idiota,adjective,idiot
idolo,noun,idol
iglesia,noun,church
ignora,verb,to ignore
ignorancia,noun,ignorance
ignorante,adjective,ignorant
igual,adjective,"same, the same, same as"
igualmente,adverb,"alike, equally, likewise, evenly"
ika,marker,marker for ordinal number (third – ika-tres)
ilegal,adjective,illegal
ilusion,noun,illusion
ilusionao,adjective,"illusory, illusive"
imagina,verb,to imagine
imaginacion,noun,imagination
imoralidad,noun,immorality
imparta,verb,to impart
imperativo,adjective,imperative
importante,adjective,important
imposibilidad,noun,impossibility
imposible,adjective,impossible
impresion,noun,impression
impresiona,verb,to impress
impresionao,adjective,impressed
impuesta,verb,"to impose, to tax"
impuesto,noun,"imposition, tax"
impunidad,noun,impunity
inclinao,adjective,"tilted, slant, leaned"
incluhido,adjective,included
inclui,verb,to include
incluido,adjective,included
inclujido,adjective,included
increible,adjective,incredible
incrementa,verb,to increase
indecision,noun,indicision
indefinido,adjective,indefinite
independencia,noun,independence
independente,adjective,independent
indica,verb,to indicate
indicacion,noun,indication
indicao,adjective,indicated
indicativo,adjective,indicative
infierno,noun,hell
influencia,noun,influence
influencial,adjective,influential
informacion,noun,information
informal,adjective,informal
ingeniero,noun,engineer
ingles,adjective,english
ingrato,adjective,"ingrate, ungrateful"
ingrediente,noun,ingredient
inicia,verb,to initiate
inicial,noun,initial
injeccion,noun,injection
inocencia,noun,innocence
inocente,adjective,innocent
inodoro,noun,toilet
inolvidable,adjective,unforgettable
inseguro,adjective,"insecure, unsafe"
insisti,verb,to insist
inspeccion,noun,inspection
inspecta,verb,to inspect
inspira,verb,to inspire
inspiracion,noun,inspiration
instante,adjective,instant
instinto,noun,instinct
instruccion,noun,instruction
insulta,verb,to insult
insulto,adjective,insulting
insulto,noun,insult
inteligente,adjective,intelligent
intencion,noun,intention
intensidad,noun,intensity
interaccion,noun,interaction
interes,noun,interest
interesante,adjective,interesting
interesao,adjective,interested
internal,adjective,internal
interpreta,verb,to interpret
interpretacion,noun,interpretation
interrogacion,noun,interrogation
intestino,noun,intestine
intierro,noun,"interment, entombment, funeral"
intriga,noun,"intrigue, issue"
introduccion,noun,introduction
introduci,verb,to introduce
inutil,adjective,"useless, needless, pointless, unserviceable, unprofitable, wasted, idle"
inventa,verb,to invent
invento,noun,invention
inventor,noun,inventor
inveta,verb,to invite
invidia,verb,to envy
invierna,adjective,"angry, enraged, furious"
invierno,adjective,"angry, enraged, furious"
invisti,verb,"to retaliate, to fight back, to repay, to revenge"
invita,verb,to invite
invitacion,noun,invitation
invitao,adjective,invited
involve,verb,"to wrapped, to cover"
iri,verb,"to hurt, to injure, to smite"
irida,noun,"wound, injury, hurt"
irido,adjective,"wounded, injured, hurt"
irritable,adjective,irritable
irritao,adjective,irritated
isla,noun,island
isquierda,adjective,left
isquierda,noun,left
istambay,verb,to bystand
istambay,noun,bystander
istoria,noun,story
izquierda,adjective,left
izquierda,noun,left
jabon,noun,soap
jaragan,adjective,"greedy, hungry, thirsty, wanting to do or have something very much"
jardin,noun,garden
jefe,adjective,chief
joven,adjective,young
juego,noun,"game, play"
juez,noun,judge
juga,verb,to play
juicio,noun,wisdom
junto,adverb,together
jurada,noun,female judge
jurado,noun,male judge
jus,noun,juice
jusga,verb,to judge
jusgada,noun,judgement
jusgao,adjective,judged
justicia,noun,justice
justo,adjective,"fit, suited"
justo,adjective,enough
jutay,adjective,small in size
kabar,adverb,"afterwards, then, and then"
kabar,interjection,so what?
kabit,verb,to hang
kabit,noun,"mistress, concubine, other woman"
kabrito,noun,goat
kalor,noun,"warmth, heat"
kalye,noun,"road, way, street"
kalyente,adjective,"hot, warm"
kamali,noun,"wrong, wrongdoing, error, misdeed, sin, trespass, violation, offense"
kame,pronoun,we (exclusive)
kamo,pronoun,you (plural)
kanamon,pronoun,us (exclusive)
kanaton,pronoun,us (inclusive)
kanila,pronoun,them
kaninyo,pronoun,you (plural)
kanta,verb,to sing
kanun,noun,cooked rice
kape,noun,coffee
kapre,noun,a mythical and giant creature that smokes on a tree
keber,noun,"care, concern"
keber,verb,to imagine (keber ese. – imagine that.)
kepet,noun,armpit
kidlat,noun,lightning
kilo,noun,kilo
kilometro,noun,kilometer
kita,pronoun,we (inclusive)
kubardon,adjective,"coward, fearful"
kunambre,adjective,hungry
laba,verb,"to wash, to clean"
lababo,noun,wash-basin
labada,noun,clothes to be washed
labandera,noun,"a female person who washes clothes, someone who is hired to wash clothes"
labandero,noun,"a male person who washes clothes, someone who is hired to wash clothes"
labio,noun,"lip, lips"
laboratorio,noun,laboratory
labuyo,verb,to cut class
labuyuin,adjective,a person who always cuts class
ladra,verb,to bark
ladron,noun,"thief, snatcher, robber, shoplifter"
laga,verb,to boil soemthing (except water)
lagak,adjective,"stingy, selfish, closefisted"
lagrima,noun,"tear, tears"
lama,verb,to call
laman,noun,flesh
lampara,noun,lamp
lampus,verb,"to smash, to hit violently or very hard"
landuk,verb,"to slip, to slide"
larga,verb,"to release, to set free, to move, to depart"
largo,adjective,long
lastima,noun,mercy
lastimoso,adjective,merciful
lata,noun,"tin can, tin, can"
latiga,verb,"to whip, to hit a person or animal with a whip or something like a whip"
lava,verb,"to wash, to clean"
lavabo,noun,wash-basin
lavada,noun,clothes to be washed
lavandera,noun,"a female person who washes clothes, someone who is hired to wash clothes"
lavandero,noun,"a male person who washes clothes, someone who is hired to wash clothes"
laway,noun,saliva
layung,adjective,"shriveled, withered, wrinkled"
layung,verb,"to shrivel, to wrinkle, to wither"
le,verb,to read
leable,adjective,readable
lebanta,verb,"to stand up, to rise, to raise up, to put up, to establish, to build"
lebantao,adjective,stood up
leccion,noun,"lesson, topic"
leche,noun,milk
lechon,adjective,roasted
lechuga,noun,lettuce
lectura,noun,lecture
lehos,adjective,far
lejos,adjective,far
lengua,noun,tongue
lenguaje,noun,language
lente,noun,"lens, eyeglass"
leproso,noun,leprosy
letra,noun,letter or character (of alphabet)
letrata,verb,"to take a picture, to capture"
letratista,noun,photographer
letrato,noun,"picture, photo"
levanta,verb,"to stand up, to rise, to raise up, to put up, to establish, to build"
ley,noun,law
libra,verb,"free, set free, unchain"
librao,adjective,freed
lìbre,noun,"free, free of charge"
lìbre,verb,to treat
libro,noun,book
lider,noun,leader
liga,noun,league
liga,verb,"to come, to arrive"
ligal,noun,legal
ligid,verb,"to lie on the ground, to pull something or something on the ground, to roll on the ground"
liha,noun,rub something against a surface or sandpaper
lihero,adjective,"fast, quick, rapid"
lija,noun,rub something against a surface or sandpaper
lijero,adjective,"fast, quick, rapid"
limita,verb,to limit
limitao,adjective,limited
limosna,noun,"alms, anything given to the poor"
limpia,verb,to clean
limpiesa,noun,"cleanliness, cleaning, the quality of being clean"
limpieza,noun,"cleanliness, cleaning, the quality of being clean"
limpio,adjective,"clean, neat"
linda,adjective,cute (feminine)
lindo,adjective,cute (masculine)
linea,noun,line
lingasa,noun,"worry, anxiety"
lingasa,verb,to worry
lista,noun,list
listao,adjective,listed
liston,noun,shoelace
literal,adjective,literal
literario,adjective,literary
llama,verb,"to call, to recognize, to acknowledge"
llamada,noun,call
llave,noun,key
llega,verb,"to arrive, to come"
llegada,noun,arrival
llena,verb,to fill up (a container)
lleno,adjective,"full, filled up"
lleva,verb,to bring
llora,verb,to cry
lobo,noun,wolf
loca,adjective,"crazy, foolish (feminine)"
locao,adjective,located
loco,adjective,"crazy, foolish (masculine)"
locuras,noun,"craziness, foolishness"
lodo,noun,mud
lola,noun,grandmother
lolo,noun,grandfather
los demas,pronoun,others
lote,noun,lot
lucha,verb,to fight
luchahan,verb,fighting
lucut,verb,to crumple
luego,adverb,later
lugar,noun,place
lugar,verb,to put or stop in a proper place
luho,noun,luxury or anything beyond necessary
lujo,noun,luxury or anything beyond necessary
lumus,verb,to drown
luna,noun,moon
lus,noun,"light, bulb"
luz,noun,"light, bulb"
mabuling,adjective,dirty
maca,marker,marker which means having a quality of something or to be something (maca-llora – to feel like crying)
machacao,adjective,"crushed, smashed"
macolor,adjective,colorful
madre,noun,"mother, nun"
madrogada,noun,dawn
madura,verb,to ripen
maduro,adjective,ripe
maestra,noun,female teacher
maestro,noun,male teacher
mafuerza,adjective,"strong, mighty, powerful"
maga,marker,plural marker (maga pono – the trees)
mahica,noun,magic
mais,noun,corn
maiz,noun,corn
majica,noun,magic
maka-asco,adjective,disgusting
maka-risas,adjective,funny
makina,noun,machine
mal,adjective,bad
malacara,adjective,ugly
maldad,noun,bad thing or act
maleducao,adjective,uneducated
malicia,noun,malice
maliciosa,adjective,malicious (feminine)
malicioso,adjective,malicious (masculine)
malihuk,adjective,constantly moving
malisud,adjective,"difficult, hard"
malo,adjective,"bad, evil"
maltrata,verb,to treat badly
maluya,adjective,weak
mama,verb,to suck milk
mana,noun,inheritance
manada,adjective,"many, much"
manda,verb,"to order, to command, to require, to demand, to ask for a favor"
mandamiento,noun,"order, command, requirement, demand"
mandato,noun,"order, command, requirement, demand"
maneja,verb,"to drive, to manage"
manera,noun,"way, ways"
mangga,noun,mango
manggas,noun,"sleeve, sleeves"
mani,noun,"nut, peanut"
mano,noun,hand
manok,noun,chicken
manta,noun,"blanket, bedsheet"
mantene,verb,to provide for the need
mantequilla,noun,margarine
manyakul,adjective,maniac
manzanas,noun,apple
mapa,noun,map
mapait,adjective,"bitter, bad taste"
mapilit,adjective,sticky
maquina,noun,machine
mar,noun,"sea, beach"
marca,noun,mark
marca,verb,to mark
marcha,verb,to march
marcha,verb,to march
marejada,noun,"waves, seawaves"
maridable,noun,married couple
marido,noun,husband
marijada,noun,"waves, seawaves"
marino,noun,"seafarer, sailor"
mariposa,noun,butterfly
marisco,noun,small sea creatures with very hard shell
maru,adjective,"deceptive, deceiving"
mas,adjective,more
masa,noun,the great body of people
masa,verb,"to mix (e.g. cement or flour), to massage"
mascota,noun,mascot
masilao,adjective,dazzling
mason,noun,mason
masquen,adjective,any
masquin,adjective,any
masucio,adjective,dirty
mata,verb,to kill
matadero,noun,"killer (usually of animals such as bull, cow, pig)"
matajan,verb,to kill one another
matanza,noun,killing
materno,adjective,maternal
matinik,adjective,"keen, perceptive, wise"
matricula,noun,enrolment
matunuk,adjective,thorny or prickly
maya,noun,a small brownish bird
mayor,adjective,older
mea,verb,"to pee, urinate"
mecanico,noun,mechanic
medi,verb,to measure
media,noun,half
medicina,noun,medicine
medico,noun,doctor
medio,noun,"center, middle point"
mejor,adjective,great
menciona,verb,to mention
menguao,adjective,"reduced, lessened, deducted"
menor,adjective,younger
menos,adjective,lesser
mensaje,noun,message
mensajero,noun,messenger
menta,verb,to blame
mentao,adjective,blamed
mes,noun,month
mesa,noun,table
mescla,verb,to mix
mesclao,adjective,mixed
mete,verb,"to touch, to act on something"
mga,marker,plural marker
mi,pronoun,my
mia,verb,"to pee, to urinate"
miedo,noun,"fear, fright"
miembro,noun,member
mientras,conjunction,while
mientras tanto,adverb,meanwhile
mil,noun,thousand
milagro,noun,miracle
milagroso,adjective,miraculous
minuto,noun,minute
mio,pronoun,mine
mira,verb,"to see, to watch"
mirahan,verb,"to see each other, to meet"
miron,noun,watcher
mirra,verb,"to see, to watch"
misa,noun,"mass, church service or ceremony"
miserable,adjective,miserable
mismo,pronoun,"self, itself"
mismo,adjective,"very, same"
miterio,noun,mystery
miting,noun,meeting
mobe,verb,to move
mobida,noun,"move, act"
moderno,adjective,modern
modesto,adjective,modest
modo,noun,manners
molestia,verb,to molest
momento,noun,momento
moñeca,noun,doll
monte,noun,mountain
monton,adjective,"many, much, enormous, big"
morde,verb,to bite
moreno,adjective,brown
morisqueta,noun,cooked rice
motibo,noun,motive
motivo,noun,motive
motor,noun,motorcycle
move,verb,to move
movida,noun,"move, act"
muchacho,noun,lad boy
muchas,adjective,"many, much"
muchas gracias,interjection,thank you very much
muchas veces,adverb,"often, many times, frequent"
mucho,adjective,"many, much"
mucho veces,adverb,"often, many times, frequent"
muda,verb,"to put on clothes, to dress up"
mudao,adjective,dressed up
mueble,noun,furniture
muerte,noun,death
muerto,adjective,dead
mujer,noun,"girl, woman, lady, wife"
mundo,noun,world
muñeca,noun,doll
munta,verb,"to ride, to embark"
muntao,adjective,embarked
muri,verb,to die
museo,noun,museum
musica,noun,music
musikero,noun,musician
muslo,noun,thigh
muta,noun,gummy discharge or secretion in the corner of the eye
muy,adverb,"very, too"
na,preposition,"in, on, at"
nace,verb,to give birth
nacimiento,noun,birthday
nacion,noun,"nation, country"
nada,pronoun,"something, anything"
nada,verb,to swim
nalgas,noun,buttock
nana,noun,mother
nana,noun,pus
nangka,noun,jackfruit
nariz,noun,nose
nativo,adjective,native
natural,adjective,natural
necesidad,noun,necessity
necesita,adjective,necessary
necesitao,adjective,needed
nega,verb,"to deny, to refuse"
negocia,verb,to negotiate
negociante,noun,"businessman, businesswoman"
negocio,noun,business
negra,adjective,black (feminine)
negro,adjective,black (masculine)
nervioso,adjective,nervous
niuno,pronoun,"none of (them, you)"
no,adverb,don’t
no hay,pronoun,none
no hay niuno,pronoun,none of them or you
noche,noun,night
nombra,verb,to name
nombre,noun,name
nota,verb,"to notice, to note"
nota,noun,note
noticia,noun,"notice, news"
novia,noun,girlfriend
novio,noun,boyfriend
nuay,pronoun,none
nuevo,adjective,new
numero,noun,number
nunca,adverb,never
obedece,verb,"to obey, to follow"
obediencia,noun,obedience
objectivo,noun,objective
objeto,noun,object
obligacion,noun,obligation
obligao,adjective,obligated
obra,noun,"work, masterpiece"
observa,verb,to observe
obtene,verb,to obtain
ocasion,noun,occasion
ocuri,verb,"to occur, to happen"
oeste,noun,west
oficial,noun,official
oficina,noun,office
ofrenda,noun,"gift, offering"
ohala,adverb,hopefully
ohas,noun,"leaf, leaves"
oi,verb,to hear
oi,interjection,hey
oido,noun,hearing
ojala,adverb,hopefully
ojas,noun,"leaf, leaves"
ojos,noun,"eye, eyes"
ole,verb,to smell
olet,adverb,again
olor,noun,smell
oloroso,adjective,"fragant, sweet, smelling, odorous"
olvida,verb,to forget
olvidao,adjective,forgotten
omenta,verb,to add
omentao,adjective,added
ondo,adjective,deep
ondura,noun,depth
opera,verb,to operate
opinion,noun,opinion
oportunidad,noun,opportunity
oposicion,noun,opposition
ora,noun,time
oracion,noun,prayer
orden,noun,order
ordena,verb,to order
ordenanza,noun,ordinance
ordinario,adjective,ordinary
orejas,noun,"ear, ears"
orgullo,noun,pride
orgulloso,adjective,proud
origen,noun,origin
original,adjective,original
orilla,noun,"side, edge, hem, shore"
oro,noun,gold
ortografia,noun,orthography
oscuridad,noun,darkness
oscuro,adjective,dark
otra vez,adverb,again
otro,noun,other
ovario,noun,ovary
paciencia,noun,patience
paciente,noun,patient
pader,noun,wall
padre,noun,priest
paga,verb,to pay
pagao,adjective,paid
pago,noun,payment
pais,noun,country
pajaro,noun,bird
palabra,noun,word
palacio,noun,palace
palangana,noun,basin
palangana,noun,basin
palay,noun,rice grain
palayao,noun,nickname
palito,noun,stick
palmadia,verb,"to whack, to slap with an open hand"
palo,noun,wood
paloma,noun,"dove, pigeon"
pan,noun,bread
pana,noun,"bow and arrow, arrow"
pantalan,noun,seaport
pantalon,noun,long pants
papel,noun,paper
paquemodo,adverb,how
paquilaya,adverb,how
para,preposition,for
para,verb,"to stand up, to stop"
paradahan,noun,"parking lot, a point where jeepneys line up for loading and unloading of passenger"
paraguas,noun,umbrella
paralitico,adjective,paralyzed
parao,adjective,standing
pari,verb,"to labor, to give birth"
pariente,noun,"relative, kinsman"
parque,noun,park
parte,noun,part
parti,verb,"to divide, to cut, to slice"
partihan,verb,to share with one another
pasa,verb,to pass
pasada,noun,"passage, passing, way"
pasahe,noun,fare
pasahero,noun,passenger
pasaje,noun,fare
pasajero,noun,passenger
pasao,adjective,"passed, spoiled"
pasaporte,noun,passport
pasatiempo,noun,hobby
pascua,noun,christmas
pasea,verb,"to stroll, to go out for a walk"
pasmao,adjective,palsied
patada,noun,kick
pati,conjunction,and
paz,noun,peace
peca,verb,to sin
pecado,noun,sin
pecador,noun,sinner
pecho,noun,chest
pedaso,adjective,piece
pega,verb,to hit
pegao,adjective,hit
peina,verb,to comb
peinao,adjective,combed
pelea,noun,"quarrel, conflict, trouble, problem, fight"
pelea,verb,"to quarrel, to fight"
peleahan,noun,"quarrel, conflict, trouble, problem, fight"
peleajan,noun,"quarrel, conflict, trouble, problem, fight"
peligro,noun,"danger, risk, hazard"
peligroso,adjective,"dangerous, risky, hazardous"
pelleho,noun,skin
pellejo,noun,skin
pelo,noun,hair
pelyahan,noun,"quarrel, conflict, trouble, problem, fight"
pelyahan,verb,"to quarrel, to fight"
pelyeho,noun,skin
pena,noun,"penalty, pain, trouble"
penoso,adjective,"grievous, painful, hard"
pensa,verb,"to think, to ponder"
pensaba,verb,thought
pensamiento,noun,"mind, thought"
pepita,noun,seed
peque,adjective,fake
perde,verb,to lose
perdido,adjective,"gone, lost, abandoned"
perdon,noun,forgiveness
perdona,verb,to forgive
perdonao,adjective,forgiven
perfecto,adjective,perfect
performa,verb,to perform
perlas,noun,"pearl, pearls"
permanente,adjective,permanent
permiso,noun,"permit, permission"
permiti,verb,to permit
pero,conjunction,but
perro,noun,dog
persecucion,noun,persecution
persona,noun,person
personal,adjective,personal
pesao,adjective,heavy
pesca,verb,to fish
pescador,noun,fisherman
pescao,noun,fish
pescuezo,noun,neck
pescuezo,noun,neck
peso,noun,peso
pidi,verb,"to ask, to beg, to seek"
piedra,noun,stone
pierna,noun,"leg, legs"
pies,noun,"foot, feet"
pija,verb,to watch carefully
pijo,noun,careful watch
pilit,verb,"to stick, to get stuck, to adhere"
pillo,adjective,naughty
pinaka,marker,superlative marker (pinaka-guapo)
pinta,verb,to paint
pintao,adjective,painted
pipina,verb,to pick up
pirmi,adverb,always
pisa,verb,to step on
pisu,noun,chick
pitik,verb,"to snap one’s finger, to flip, to topple"
plaito,noun,"fight, conflict, trouble"
plancha,noun,iron
planea,verb,to plan
plano,noun,plan
planta,noun,factory
plantacion,noun,plantation
plantao,adjective,planted
platito,noun,small plate
plato,noun,plate
plojo,adjective,lazy
plojon,adjective,lazy
pluma,noun,ballpen
pobre,adjective,poor
poco,adjective,"little, few"
poco-poco,adverb,little by little
pogon,noun,an enclosed chamber in which heat is produced usually for cooking
polvo,noun,powder
polvos,noun,powder
pone,verb,"to put, to place"
pono,noun,tree
por,preposition,for
por favor,adverb,please
por que,adverb,why
porcion,noun,portion
poreso,conjunction,so
posee,verb,to possess
posible,adjective,possible
posicion,noun,position
positivo,adjective,positive
poso,noun,"well, deep well"
postre,noun,dessert
postura,noun,posture
precio,noun,price
preciosa,adjective,precious
precioso,adjective,precious
precura,verb,"to try one’s best to finish, achieve or obtain something"
predica,verb,to predict
preferi,verb,to prefer
pregunta,noun,question
pregunta,verb,to ask a question
prepara,verb,to prepare
preparacion,noun,preparation
preparao,adjective,"prepared, ready"
presencia,noun,presence
presenta,verb,to present
presion,noun,pressure
preso,noun,"prisoner, jail"
presta,verb,to borrow
prestao,adjective,borrowed
pretende,verb,to pretend
primer,adjective,first
primera,adjective,first
primero,adjective,first
primo,noun,cousin
principia,verb,to start
principiando,verb,starting
principio,noun,principle
prision,noun,pressure
prito,adjective,fried
privilegio,noun,privilege
proba,verb,"to taste, to try"
problema,noun,problem
proclama,verb,to proclaim
produci,verb,to produce
producto,noun,product
profeta,noun,prophet
profundo,adjective,profound
programa,noun,program
progresivo,adjective,progressive
progreso,noun,progress
prohibi,verb,"to prohibit, to forbid"
prohibido,adjective,"prohibited, forbidden"
promesa,noun,promise
promete,verb,to promise
pronto,adjective,"fast, quick, rapid"
propriedad,noun,property
proteje,verb,to protect
protesta,noun,protest
provecho,noun,"benefit, gain"
provincia,noun,province
pruba,verb,"to try, to taste"
prueba,noun,proof
publico,noun,adj. public
pueblo,noun,town
puede,verb,can
puente,noun,bridge
puera,adverb,"aside, aside from"
puerco,noun,pig
puerta,noun,door
pues,adverb,so
puesto,noun,"position, stall, booth, post, place"
pugaran,noun,nest
pulis,noun,"policeman, police"
pulmon,noun,lungs
pulso,noun,pulse
puma,verb,to smoke
punta,noun,"end, tip, peak, point"
puro,adjective,pure
pursigui,verb,to pursue
que,adverb,what
que tal,interjection,how are you?
quebra,verb,"to break, to crash, to smash"
quebrantao,adjective,"broken, crashed, smashed"
quebrao,adjective,"broken, crashed, smashed"
queda,verb,"to live, to stay"
quema,noun,"fire, burn"
quema,verb,to burn
quemodo,adverb,how
quere,verb,"to want, to like"
querida,noun,"love, dear, sweetheart"
querido,noun,"love, dear, sweetheart"
queso,noun,cheese
quien,adverb,who
quiere,verb,"to want, to like"
quieto,adjective,"quiet, calm, restful"
quita,verb,"to remove, to eradicate"
rabia,verb,to get angry
rabiao,adjective,angry
radio,noun,radio
rama,noun,branch
rapido,adjective,"rapid, fast, quick"
rasca,adjective,itchy
rason,noun,reason
rastro,noun,mark
raton,noun,"rat, mouse"
realiza,verb,to realize
rebelled,noun,rebel
rebenta,verb,to explode
recibi,verb,to receive
recio,noun,"hard, strong, severe, loud, heavy"
reclama,verb,to complain
reclamo,noun,complain
recoje,verb,"to keep, to pick up, to gather"
recoji,verb,"to keep, to pick up, to gather"
recompensa,verb,to compensate
reconoce,verb,to recall
reconocido,adjective,recalled
recuerdo,noun,"remembrance, memory"
referi,noun,referee
rega,verb,to water
regalo,noun,gift
regla,noun,menstruation
reina,noun,queen
reino,noun,king
reis,noun,roots
relacion,noun,"relation, relationship"
relo,noun,"watch, clock"
reloj,noun,"watch, clock"
relojero,noun,watch repairman
repiti,verb,to repeat
reporta,verb,to report
representa,verb,to represent
resa,verb,to pray
rescata,verb,to redeem
reserva,verb,to reserve
reservacion,noun,reservation
reso,noun,prayer
respeta,verb,to respect
respetao,adjective,respected
respeto,noun,respect
responsabilidad,noun,responsibility
responsable,adjective,responsible
resulta,noun,result
resureccion,noun,resurrection
reuni,verb,to reunite
reza,verb,to pray
rezo,noun,prayer
rico,adjective,rich
rindi,verb,to offer
rio,noun,river
riqueza,noun,richness
risas,noun,laughter
rizas,noun,laughter
